epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1550.08,0.83664,0.52574,0.80022,0.06686,0.48792,0.10683,0.06172,1.46196,4.19817,0.83983,0.000207883,0.000207883,0.000207883
74,1571.31,0.8463,0.51366,0.7974,0.08049,0.47651,0.12321,0.07242,1.4205,4.03279,0.84015,0.000206284,0.000206284,0.000206284
75,1591.1,0.83537,0.52602,0.80196,0.06384,0.41878,0.11005,0.06252,1.48149,4.29505,0.84197,0.000204685,0.000204685,0.000204685
76,1611.48,0.82166,0.52141,0.79024,0.06146,0.47766,0.10517,0.0613,1.48037,4.09775,0.83597,0.000203086,0.000203086,0.000203086
77,1631.06,0.78747,0.4898,0.79762,0.06717,0.39372,0.10679,0.06524,1.44962,4.24525,0.83538,0.000201487,0.000201487,0.000201487
78,1650.61,0.80599,0.51631,0.80905,0.06209,0.4019,0.11319,0.069,1.40627,4.11543,0.83593,0.000199889,0.000199889,0.000199889
79,1670.33,0.80958,0.4989,0.80474,0.06853,0.44987,0.10685,0.06201,1.43249,4.34436,0.83935,0.00019829,0.00019829,0.00019829
80,1689.75,0.82078,0.52109,0.79906,0.06991,0.42028,0.10331,0.06138,1.45369,4.35451,0.84019,0.000196691,0.000196691,0.000196691
81,1709.45,0.80739,0.48513,0.79243,0.06589,0.4336,0.10118,0.05783,1.44176,4.4226,0.83935,0.000195092,0.000195092,0.000195092
82,1730.83,0.78884,0.48129,0.79376,0.06689,0.46733,0.10676,0.05706,1.52814,4.2824,0.84439,0.000193493,0.000193493,0.000193493
83,1751.13,0.78315,0.48045,0.79408,0.06842,0.46167,0.10074,0.05822,1.45039,4.14726,0.83971,0.000191894,0.000191894,0.000191894
84,1770.74,0.79606,0.48209,0.79913,0.06734,0.446,0.101,0.05915,1.4411,4.33105,0.83978,0.000190295,0.000190295,0.000190295
85,1790.11,0.77948,0.47156,0.79207,0.06692,0.38967,0.10093,0.06023,1.42965,4.33408,0.8373,0.000188697,0.000188697,0.000188697
86,1809.47,0.77876,0.47559,0.78823,0.06515,0.45493,0.11513,0.06538,1.49495,4.23477,0.8387,0.000187098,0.000187098,0.000187098
87,1828.77,0.80073,0.491,0.79209,0.07041,0.43645,0.0971,0.06093,1.44793,4.41294,0.84225,0.000185499,0.000185499,0.000185499
88,1848.01,0.78018,0.47354,0.79546,0.06626,0.44986,0.11539,0.06706,1.41912,4.26072,0.83687,0.0001839,0.0001839,0.0001839
89,1867.39,0.76309,0.4602,0.79877,0.07599,0.46185,0.1186,0.07302,1.4482,4.20928,0.83713,0.000182301,0.000182301,0.000182301
90,1888.73,0.78331,0.47671,0.79247,0.06196,0.42764,0.10924,0.06632,1.41555,4.15703,0.83603,0.000180702,0.000180702,0.000180702
91,1908.16,0.76326,0.46178,0.79336,0.0693,0.4203,0.10359,0.06078,1.45715,4.35841,0.8416,0.000179103,0.000179103,0.000179103
92,1928.8,0.7403,0.46012,0.80021,0.07158,0.4086,0.1077,0.06467,1.42694,4.46733,0.83702,0.000177505,0.000177505,0.000177505
93,1949.38,0.75698,0.45897,0.80199,0.06574,0.47524,0.11394,0.0678,1.43938,4.08662,0.84082,0.000175906,0.000175906,0.000175906
94,1968.56,0.74035,0.44539,0.79303,0.06493,0.36963,0.0956,0.05662,1.45234,4.39043,0.84256,0.000174307,0.000174307,0.000174307
95,1987.98,0.73806,0.43356,0.78972,0.06524,0.3974,0.10155,0.0605,1.44863,4.40559,0.84182,0.000172708,0.000172708,0.000172708
96,2007.21,0.7582,0.4384,0.79188,0.07128,0.39801,0.12091,0.06879,1.47372,4.53577,0.84053,0.000171109,0.000171109,0.000171109
97,2026.42,0.73076,0.4374,0.78722,0.08048,0.35892,0.10204,0.06265,1.43646,4.56339,0.84172,0.00016951,0.00016951,0.00016951
98,2045.53,0.74647,0.44296,0.79662,0.07256,0.44599,0.1007,0.05926,1.4537,4.31509,0.84114,0.000167912,0.000167912,0.000167912
99,2065.94,0.74369,0.45163,0.78943,0.06409,0.45074,0.09516,0.05679,1.47943,4.25595,0.84335,0.000166313,0.000166313,0.000166313
100,2086.71,0.73497,0.44965,0.79341,0.07673,0.42692,0.10126,0.06232,1.43876,4.38644,0.84177,0.000164714,0.000164714,0.000164714
101,2106.19,0.72857,0.4337,0.79362,0.07391,0.38047,0.10236,0.06234,1.47423,4.65417,0.84531,0.000163115,0.000163115,0.000163115
102,2125.33,0.72919,0.43287,0.79442,0.07001,0.41896,0.10184,0.05731,1.44221,4.68402,0.84264,0.000161516,0.000161516,0.000161516
103,2144.63,0.72814,0.4352,0.78845,0.06739,0.43899,0.09574,0.055,1.44027,4.42597,0.84261,0.000159917,0.000159917,0.000159917
104,2163.9,0.68869,0.42015,0.78764,0.08178,0.39148,0.10636,0.06291,1.44153,4.63758,0.83766,0.000158318,0.000158318,0.000158318
105,2183.15,0.71032,0.43278,0.78563,0.06561,0.36436,0.09729,0.0564,1.45677,4.7275,0.84418,0.00015672,0.00015672,0.00015672
106,2204.46,0.71504,0.42516,0.79285,0.07126,0.44822,0.10079,0.0582,1.44624,4.5285,0.8427,0.000155121,0.000155121,0.000155121
107,2224.61,0.69978,0.40356,0.79123,0.07665,0.41462,0.10744,0.06449,1.41505,4.56084,0.83422,0.000153522,0.000153522,0.000153522
108,2244.07,0.71476,0.4273,0.7937,0.0715,0.42594,0.09801,0.05711,1.42623,4.51851,0.83947,0.000151923,0.000151923,0.000151923
109,2263.49,0.70508,0.4258,0.79204,0.07294,0.4151,0.10414,0.0587,1.47353,4.51498,0.84211,0.000150324,0.000150324,0.000150324
110,2282.72,0.6985,0.41047,0.79116,0.07094,0.38822,0.10667,0.06348,1.44699,4.74098,0.83932,0.000148725,0.000148725,0.000148725
111,2301.86,0.71001,0.41813,0.79026,0.06775,0.40106,0.09374,0.05639,1.44731,4.58216,0.84078,0.000147126,0.000147126,0.000147126
112,2320.92,0.69521,0.42214,0.79136,0.06794,0.40401,0.09379,0.05733,1.4439,4.50661,0.84289,0.000145528,0.000145528,0.000145528
113,2340.19,0.70226,0.40698,0.7904,0.07136,0.37892,0.09435,0.05486,1.49043,4.54915,0.84298,0.000143929,0.000143929,0.000143929
114,2359.17,0.7032,0.41395,0.79197,0.06744,0.44887,0.09921,0.05864,1.43357,4.44656,0.83893,0.00014233,0.00014233,0.00014233
115,2378.44,0.68226,0.4032,0.78745,0.08188,0.42869,0.10953,0.06477,1.45202,4.55234,0.8398,0.000140731,0.000140731,0.000140731
116,2399.41,0.6903,0.39757,0.78771,0.08371,0.41087,0.11862,0.06985,1.44915,4.54022,0.83835,0.000139132,0.000139132,0.000139132
117,2419.8,0.66435,0.40008,0.78521,0.07645,0.39796,0.10576,0.06431,1.48171,4.49003,0.84132,0.000137533,0.000137533,0.000137533
118,2438.84,0.68245,0.40187,0.78811,0.07205,0.40776,0.09899,0.05833,1.46569,4.55955,0.84264,0.000135935,0.000135935,0.000135935
119,2458.14,0.68395,0.4107,0.78943,0.0772,0.40809,0.09538,0.0542,1.44896,4.55794,0.83906,0.000134336,0.000134336,0.000134336
120,2477.19,0.66655,0.39154,0.78728,0.07463,0.41876,0.10128,0.05971,1.44707,4.47973,0.84205,0.000132737,0.000132737,0.000132737
121,2496.3,0.64836,0.38573,0.78308,0.07938,0.3699,0.10376,0.06092,1.42666,4.64101,0.83895,0.000131138,0.000131138,0.000131138
122,2515.29,0.67936,0.40213,0.79181,0.06647,0.385,0.09528,0.05564,1.43757,4.53032,0.84168,0.000129539,0.000129539,0.000129539
123,2534.62,0.6726,0.395,0.78485,0.06478,0.39388,0.089,0.05346,1.46565,4.58463,0.84025,0.00012794,0.00012794,0.00012794
