epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1579.16,0.84,0.42317,0.8151,0.8089,0.87834,0.89519,0.6372,1.10036,0.47493,0.84017,0.000396246,0.000396246,0.000396246
79,1599.93,0.83158,0.42243,0.81141,0.90004,0.86744,0.89542,0.63256,1.12149,0.46253,0.84091,0.000379743,0.000379743,0.000379743
80,1620.25,0.84299,0.42765,0.82179,0.88424,0.85351,0.91693,0.66833,1.112,0.45917,0.84135,0.000363239,0.000363239,0.000363239
81,1641.4,0.839,0.41819,0.81173,0.87264,0.90685,0.91596,0.65055,1.10839,0.45775,0.84084,0.000346736,0.000346736,0.000346736
82,1662.49,0.85964,0.44214,0.81757,0.85627,0.93762,0.91984,0.66214,1.11751,0.46078,0.84034,0.000330233,0.000330233,0.000330233
83,1681.86,0.81119,0.41329,0.80462,0.87088,0.90497,0.90821,0.66319,1.1,0.44958,0.8383,0.000313729,0.000313729,0.000313729
84,1701.22,0.80509,0.40317,0.81315,0.86719,0.85881,0.90482,0.65672,1.11445,0.45801,0.8424,0.000297226,0.000297226,0.000297226
85,1720.81,0.82774,0.40778,0.8123,0.87691,0.90085,0.9159,0.65318,1.10455,0.4393,0.83975,0.000280723,0.000280723,0.000280723
86,1740.16,0.807,0.40604,0.81286,0.86959,0.87026,0.91392,0.64717,1.10211,0.45135,0.83994,0.00026422,0.00026422,0.00026422
87,1759.39,0.80028,0.40626,0.81277,0.87895,0.89556,0.90421,0.65264,1.10136,0.45586,0.83822,0.000247716,0.000247716,0.000247716
88,1780.73,0.81278,0.40735,0.80808,0.88015,0.88852,0.92247,0.66594,1.12299,0.44582,0.84037,0.000231213,0.000231213,0.000231213
89,1800.53,0.80289,0.39153,0.80774,0.87548,0.8517,0.90098,0.6211,1.15805,0.45579,0.84459,0.00021471,0.00021471,0.00021471
90,1819.92,0.79344,0.3894,0.81157,0.8934,0.84331,0.90406,0.64897,1.11994,0.45219,0.84129,0.000198206,0.000198206,0.000198206
91,1874.67,0.78007,0.39128,0.80165,0.82713,0.85471,0.8842,0.6357,1.12755,0.45759,0.84395,0.000181703,0.000181703,0.000181703
92,1895.72,0.78504,0.38196,0.80738,0.89193,0.83588,0.8816,0.64182,1.11646,0.44777,0.84146,0.0001652,0.0001652,0.0001652
93,1915.52,0.78233,0.3773,0.80569,0.90029,0.85664,0.89672,0.6311,1.12211,0.45204,0.84146,0.000148696,0.000148696,0.000148696
94,1934.9,0.76655,0.37086,0.80778,0.90181,0.84155,0.88105,0.6284,1.10778,0.44954,0.84118,0.000132193,0.000132193,0.000132193
95,1954.32,0.76478,0.37452,0.80502,0.84753,0.89323,0.90327,0.64587,1.11235,0.4539,0.8412,0.00011569,0.00011569,0.00011569
96,1973.76,0.75578,0.36342,0.81069,0.85022,0.86344,0.90645,0.65994,1.10383,0.45096,0.84061,9.91865e-05,9.91865e-05,9.91865e-05
97,1993.05,0.75841,0.35955,0.81604,0.90634,0.8567,0.91485,0.65175,1.10292,0.44508,0.84013,8.26832e-05,8.26832e-05,8.26832e-05
98,2012.47,0.75413,0.357,0.80455,0.82257,0.90394,0.89825,0.63015,1.10557,0.44172,0.84029,6.61799e-05,6.61799e-05,6.61799e-05
99,2031.85,0.76026,0.36307,0.80343,0.90306,0.87949,0.91111,0.65,1.10726,0.44085,0.83979,4.96766e-05,4.96766e-05,4.96766e-05
100,2052.67,0.74966,0.35552,0.80234,0.88251,0.8941,0.91064,0.65403,1.10053,0.44039,0.83923,3.31733e-05,3.31733e-05,3.31733e-05
